x_star,y_star,u_star,v_star,p_star,bc_tag
0.266093,0.413892,0.531793,-0.0200204,230.579,0
0.283598,0.38399,0.675462,-0.0293192,230.313,0
0.358356,-0.5,9.8053e-32,-3.46941e-30,228.853,3
0.372417,-0.467539,0.201223,0.00170315,228.773,0
0.358334,-0.409928,0.524059,0.0123552,229.102,0
0.387845,-0.435369,0.383305,0.00560373,228.639,0
0.375495,-0.379444,0.668632,0.0178718,228.893,0
0.353192,-0.30529,0.973564,0.039149,229.224,0
0.37697,-0.344201,0.821713,0.0258514,228.894,0
0.362747,-0.264608,1.10035,0.0436394,229.046,0
0.375559,-0.228166,1.19532,0.0433066,228.835,0
0.388162,-0.16875,1.31725,0.0384835,228.598,0
0.342136,-0.0647984,1.42183,0.0240499,228.998,0
0.372058,-0.133242,1.36782,0.0371046,228.744,0
0.401067,-0.139801,1.36369,0.0324099,228.413,0
0.373798,-0.0979936,1.40678,0.0292414,228.684,0
0.375539,-0.020915,1.44958,0.00674002,228.612,0
0.375539,0.0209149,1.44959,-0.00673667,228.613,0
0.375539,0.0627448,1.43355,-0.0195627,228.634,0
0.379318,0.0979936,1.4081,-0.0283574,228.622,0
0.383098,0.133242,1.36975,-0.0348831,228.616,0
0.372058,0.187182,1.28295,-0.0437153,228.82,0
0.356971,0.260346,1.11314,-0.045643,229.122,0
0.375559,0.228166,1.1953,-0.0432901,228.833,0
0.0213255,0.433737,0.539291,-0.0106441,238.302,0
0.0448372,0.425217,0.584795,-0.0216047,237.03,0
0.346142,0.306606,0.970518,-0.0405127,229.324,0
0.187889,0.469872,0.220135,-0.00456228,231.94,0
0.162794,0.440301,0.426333,-0.0173774,232.764,0
0.116919,0.443025,0.432841,-0.0181027,234.125,0
0.250445,0.441016,0.384683,-0.0112836,230.79,0
0.234356,0.468903,0.21473,-0.00380329,230.953,0
0.0707703,0.447737,0.42472,-0.0148279,235.928,0
0,0.441464,0.490351,-4.48693e-33,239.572,1
0.340134,0.352335,0.797419,-0.0301347,229.428,0
0.295798,0.441615,0.367464,-0.00851489,229.988,0
0.329613,0.381495,0.671345,-0.0232202,229.571,0
0.312315,0.405444,0.559615,-0.0178994,229.813,0
0.399762,0.304119,0.968995,-0.0296263,228.574,0
0.403836,-0.5,9.58179e-32,-3.46067e-30,228.276,3
0.418166,-0.469162,0.187733,0.00110652,228.169,0
0.404216,-0.408467,0.522089,0.00933701,228.462,0
0.43366,-0.43822,0.361591,0.00372339,228.028,0
0.414041,-0.374336,0.684019,0.0147615,228.363,0
0.414998,-0.335803,0.847935,0.0216847,228.369,0
0.387124,-0.286595,1.02995,0.0348915,228.737,0
0.421997,-0.267381,1.08569,0.0301246,228.26,0
0.404265,-0.204258,1.24956,0.0367374,228.438,0
0.413131,-0.23582,1.17462,0.0342239,228.354,0
0.429749,-0.159599,1.33643,0.0292794,228.085,0
0.375539,-0.0627448,1.43356,0.0195537,228.634,0
0.413972,-0.110852,1.40211,0.0256128,228.233,0
0.416036,-0.033431,1.45783,0.00850032,228.166,0
0.418272,0.00728367,1.4636,-0.00184584,228.137,0
0.420509,0.0479983,1.45308,-0.0117489,228.12,0
0.422799,0.0837991,1.43013,-0.0193362,228.112,0
0.42509,0.1196,1.39371,-0.0253236,228.109,0
0.418351,0.152527,1.34686,-0.0307187,228.215,0
0.411612,0.185453,1.2884,-0.0345622,228.328,0
0.410308,0.256337,1.11913,-0.0334643,228.407,0
0.424051,0.222126,1.2085,-0.032423,228.205,0
0.0239834,0.457889,0.367877,-0.0054293,238.215,0
0.221915,0.5,1.10932e-31,3.50112e-30,230.948,3
0.37894,0.344201,0.821267,-0.0255177,228.865,0
0.176435,0.5,1.18181e-31,3.51588e-30,231.93,3
0.09938,0.472581,0.228294,-0.00499208,234.619,0
0.0854746,0.5,1.36199e-31,3.53642e-30,234.827,3
0.145635,0.465698,0.263352,-0.0067947,233.093,0
0.28058,0.471173,0.190948,-0.00248504,230.112,0
0.267396,0.5,1.0535e-31,3.48914e-30,230.156,3
0.0405824,0.5,1.38421e-31,3.37706e-30,237.113,3
0,0.469056,0.281881,-1.68188e-33,239.732,1
0.326571,0.467888,0.204513,-0.00227085,229.416,0
0.375495,0.379444,0.668629,-0.0178774,228.894,0
0.341916,0.440257,0.364461,-0.00663322,229.28,0
0.358334,0.404341,0.552446,-0.0136794,229.111,0
0.430654,0.279139,1.04834,-0.0272965,228.155,0
0.419001,0.335803,0.847253,-0.0211023,228.315,0
0.463857,-0.423833,0.434927,0.00438047,227.66,0
0.462259,-0.468935,0.186431,0.000802193,227.618,0
0.449317,-0.5,9.42309e-32,-3.45228e-30,227.722,3
0.448685,-0.386458,0.622264,0.00983519,227.892,0
0.453802,-0.339233,0.828091,0.0161797,227.851,0
0.448725,-0.286121,1.02376,0.0235138,227.919,0
0.45787,-0.247618,1.1405,0.0251162,227.791,0
0.461852,-0.170565,1.31927,0.0245544,227.701,0
0.458994,-0.202217,1.25461,0.0260073,227.754,0
0.455233,-0.11494,1.4036,0.0204234,227.748,0
0.435634,-0.0741856,1.44029,0.016068,227.959,0
0.453723,-0.0216098,1.46956,0.00439984,227.733,0
0.453723,0.0216098,1.46957,-0.00440061,227.734,0
0.461117,0.0635514,1.45249,-0.0119225,227.658,0
0.468512,0.105493,1.41632,-0.0175837,227.587,0
0.459364,0.150192,1.35438,-0.0235789,227.719,0
0.458994,0.202217,1.25461,-0.0260043,227.755,0
0.455943,0.248008,1.13953,-0.02542,227.815,0
0.416045,0.374336,0.683655,-0.0145672,228.335,0
0.130955,0.5,1.27317e-31,3.53443e-30,233.151,3
0.312876,0.5,1.01131e-31,3.47875e-30,229.471,3
0,0.5,-1.16747e-30,1.61965e-30,239.461,1
0.358356,0.5,9.80534e-32,3.46941e-30,228.854,3
0.372417,0.469686,0.188369,-0.00149184,228.766,0
0.404216,0.408467,0.522089,-0.00933886,228.461,0
0.387845,0.435369,0.383309,-0.00560543,228.64,0
0.461887,0.293592,0.997259,-0.0207618,227.75,0
0.460362,0.327133,0.875112,-0.0170338,227.769,0
0.45173,0.386458,0.621831,-0.00962867,227.854,0
0.494797,-0.409091,0.507052,0.00476329,227.28,0
0.494797,-0.454545,0.266617,0.00131191,227.237,0
0.494797,-0.5,9.31298e-32,-3.44404e-30,227.178,3
0.494797,-0.363636,0.72015,0.00944695,227.312,0
0.494797,-0.318182,0.90546,0.0142423,227.327,0
0.494797,-0.272727,1.06317,0.018098,227.328,0
0.494797,-0.227273,1.19393,0.0202363,227.319,0
0.489486,-0.125652,1.39359,0.0174028,227.345,0
0.494797,-0.181818,1.29874,0.0201242,227.303,0
0.494797,-0.0909091,1.43494,0.0131338,227.27,0
0.486664,-0.0335322,1.47207,0.00549772,227.351,0
0.494797,-1.12722e-08,1.47935,2.05524e-06,227.255,0
0.51547,0.0454545,1.47114,-0.0060898,227.015,0
0.513402,0.0909091,1.43704,-0.0115914,227.049,0
0.494797,0.181818,1.29874,-0.0201374,227.304,0
0.511335,0.136364,1.37994,-0.0158179,227.086,0
0.494797,0.227273,1.19392,-0.0202259,227.318,0
0.505133,0.272727,1.06248,-0.0168253,227.198,0
0.403836,0.5,9.58126e-32,3.46066e-30,228.275,3
0.416375,0.469411,0.186387,-0.00110364,228.192,0
0.430545,0.438655,0.359574,-0.00376068,228.067,0
0.46226,0.424062,0.433898,-0.00441041,227.679,0
0.503066,0.318182,0.90467,-0.0134081,227.222,0
0.494797,0.409091,0.507048,-0.00476506,227.28,0
0.500999,0.363636,0.719499,-0.00902488,227.233,0
0.536142,-0.409091,0.503711,0.00345076,226.769,0
0.540277,-0.454545,0.264505,0.000909341,226.684,0
0.540277,-0.5,9.24064e-32,-3.43593e-30,226.644,3
0.540277,-0.363636,0.715939,0.00669246,226.739,0
0.540277,-0.318182,0.901593,0.0101736,226.755,0
0.540277,-0.272727,1.06046,0.0130354,226.758,0
0.527873,-0.227273,1.1932,0.0160266,226.909,0
0.523739,-0.136364,1.38077,0.0145228,226.937,0
0.540277,-0.181818,1.2998,0.0146589,226.748,0
0.530974,-0.0909091,1.43879,0.0102755,226.839,0
0.540277,-1.12722e-08,1.4855,-3.54993e-06,226.718,0
0.519604,-0.0454545,1.47167,0.00592792,226.966,0
0.54958,0.113636,1.41432,-0.0107309,226.62,0
0.56095,0.0454545,1.47615,-0.00443693,226.475,0
